ProductCardId,ProductCategoryId,CategoryName,ProductName,ProductPrice,ProductStatus
1347,60,Baby ,Baby sweater,59.08000183,0
305,38,Kids' Golf Clubs,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,0
1004,45,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0
1346,59,Books ,Sports Books ,31.07999992,0
58,4,Basketball,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,0
311,38,Kids' Golf Clubs,Polar Loop Activity Tracker,109.9499969,0
303,38,Kids' Golf Clubs,Garmin Forerunner 910XT GPS Watch,399.9899902,0
1354,67,DVDs,DVDs ,164.3800049,0
1348,61,CDs ,CDs of rock,11.28999996,0
78,5,Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,0
258,12,Boxing & MMA,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786,0
797,36,Golf Balls,Hirzl Women's Soffft Flex Golf Glove,17.98999977,0
981,44,Hunting & Shooting,The North Face Women's Recon Backpack,99.0,0
1355,68,Garden,Lawn mower,532.5800171,0
135,7,Hockey,Nike Dri-FIT Crew Sock 6 Pack,22.0,0
134,7,Hockey,Nike Women's Legend V-Neck T-Shirt,25.0,0
845,38,Kids' Golf Clubs,Garmin Approach S4 Golf GPS Watch,299.9899902,0
982,44,Hunting & Shooting,insta-bed Neverflat Air Mattress,149.9900055,0
625,29,Shop By Sport,Nike Men's Kobe IX Elite Low Basketball Shoe,199.9900055,0
1359,72,Pet Supplies,Adult dog supplies,84.40000153,0
1356,69,Health and Beauty,First aid kit,293.0400085,0
607,41,Trade-In,Garmin Approach S3 Golf GPS Watch,249.9900055,0
1358,71,Music,Rock music,260.6499939,0
1362,75,Video Games,Fighting video games,39.75,0
295,38,Kids' Golf Clubs,Fitbit The One Wireless Activity & Sleep Trac,99.94999695,0
127,7,Hockey,Stiga Master Series ST3100 Competition Indoor,329.9899902,0
61,4,Basketball,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902,0
35,3,Baseball & Softball,adidas Brazuca 2014 Official Match Ball,159.9900055,0
858,38,Kids' Golf Clubs,GolfBuddy VT3 GPS Watch,199.9900055,0
860,38,Kids' Golf Clubs,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902,0
216,10,Strength Training,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.0,0
19,2,Soccer,Nike Men's Fingertrap Max Training Shoe,124.9899979,0
226,11,Fitness Accessories,Bowflex SelectTech 1090 Dumbbells,599.9899902,0
208,10,Strength Training,SOLE E35 Elliptical,1999.98999,0
793,36,Golf Balls,Hirzl Women's Hybrid Golf Glove,14.98999977,0
792,36,Golf Balls,Hirzl Men's Hybrid Golf Glove,14.98999977,0
786,35,Golf Gloves,TaylorMade 2014 Purelite Stand Bag,179.9900055,0
778,35,Golf Gloves,Bag Boy Beverage Holder,24.98999977,0
777,35,Golf Gloves,Bag Boy M330 Push Cart,79.98999786,0
775,35,Golf Gloves,Clicgear 8.0 Shoe Brush,9.989999771,0
773,35,Golf Gloves,Titleist Small Wheeled Travel Cover,249.9900055,0
771,35,Golf Gloves,Clicgear Rovic Cooler Bag,39.99000168,0
768,35,Golf Gloves,Titleist Club Glove Travel Cover,299.9899902,0
743,34,Golf Bags & Carts,Ogio Race Golf Shoes,169.9900055,0
730,33,Golf Shoes,LIJA Women's Argyle Golf Polo,80.0,0
728,33,Golf Shoes,LIJA Women's Eyelet Sleeveless Golf Polo,65.0,0
725,33,Golf Shoes,LIJA Women's Button Golf Dress,108.0,0
724,33,Golf Shoes,LIJA Women's Mid-Length Panel Golf Shorts,100.0,0
715,32,Golf Apparel,TaylorMade Women's RBZ SL Rescue,129.9900055,0
705,32,Golf Apparel,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.9899979,0
703,32,Golf Apparel,Top Flite Women's 2014 XL Hybrid,19.98999977,0
691,31,Women's Golf Clubs,MDGolf Pittsburgh Penguins Putter,79.98999786,0
677,31,Women's Golf Clubs,TaylorMade White Smoke IN-12 Putter,99.98999786,0
671,31,Women's Golf Clubs,Cleveland Golf Collegiate My Custom Wedge 588,209.9900055,0
666,30,Men's Golf Clubs,Merrell Men's All Out Flash Trail Running Sho,109.9899979,0
652,30,Men's Golf Clubs,Merrell Women's Grassbow Sport Waterproof Hik,129.9900055,0
647,30,Men's Golf Clubs,Merrell Women's Siren Mid Waterproof Hiking B,134.9900055,0
646,30,Men's Golf Clubs,Merrell Women's Grassbow Sport Hiking Shoe,99.98999786,0
1361,74,Toys,Toys ,11.53999996,0
1073,48,Water Sports,Pelican Sunstream 100 Kayak,199.9900055,0
1059,48,Water Sports,Pelican Maverick 100X Kayak,349.9899902,0
1014,46,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,49.97999954,0
